Муниципалитет,Этап олимпиады,Год проведения,Количество участников,Количество призёров,Процент призёров,Средний балл по этапу
Чистополь,Заключительный,2020,87,5,5.75,-1
Азнакаево,Муниципальный,2021,101,10,9.9,43.07
Чистополь,Муниципальный,2023,110,47,42.73,91.12
Казань,Школьный,2022,53,9,ошибка,68.55
Агрыз,Заключительный,2019,128,27,21.09,64.6
Лениногорск,Школьный,2015,62,30,ошибка,80.36
Елабуга,Заключительный,2021,190,42,22.11,63.02
Менделеевск,Заключительный,2020,108,31,28.7,46.45
Кукмор,Региональный,2019,133,8,6.02,75.31
Агрыз,Школьный,2021,35,11,31.43,86.81
Лениногорск,Заключительный,2024,106,17,ошибка,65.67
Мамадыш,Заключительный,2017,44,,,50.97
Бугульма,Муниципальный,2023,158,71,44.94,ошибка
Апастово,Заключительный,2019,,0,,43.6
Чистополь,Школьный,2018,151,55,36.42,82.2
Апастово,Школьный,2019,116,24,20.69,50.4
Бугульма,Заключительный,2024,,0,,79.06
Агрыз,Школьный,2019,ошибка,0,,53.38
Агрыз,Региональный,2016,15,,,40.37
Арск,Заключительный,2020,171,28,16.37,47.56
Альметьевск,Муниципальный,2023,162,75,ошибка,
Елабуга,Заключительный,2019,152,40,ошибка,52.7
Буинск,Школьный,2020,107,12,11.21,99.28
Мамадыш,Муниципальный,2018.0,80,21,ошибка,92.93
Альметьевск,Муниципальный,2024,172,12,ошибка,90.59
Заинск,Региональный,2017,98,19,19.39,
Бугульма,Заключительный,2019,38,14,36.84,-1
Елабуга,Заключительный,2023,191,39,20.42,50.09
Лениногорск,Заключительный,2019,,0,,83.88
Азнакаево,Муниципальный,2020,100,19,19.0,64.26
Агрыз,Региональный,2016,10,,,70.65
Кукмор,Муниципальный,2019,72,6,8.33,79.26
Чистополь,Заключительный,2021,128,16,12.5,97.65
Елабуга,Заключительный,2018,62,30,48.39,95.76
Заинск,Региональный,2024.0,73,16,ошибка,83.6
Лениногорск,Заключительный,2016,42,13,30.95,72.43
Азнакаево,Муниципальный,2022,147,37,25.17,54.33
Чистополь,Региональный,2019,132,31,23.48,91.68
Набережные Челны,Заключительный,2018,11,4,36.36,86.94
Зеленодольск,Школьный,2015,149,36,24.16,ошибка
Бугульма,Региональный,2015,20,8,40.0,56.6
Арск,Региональный,2018,11,4,36.36,82.78
Тетюши,Муниципальный,2021,70,25,35.71,44.72
Бугульма,Заключительный,2019,76,21,27.63,
Бугульма,Школьный,2021,57,27,47.37,
Балтаси,Муниципальный,2020,174,83,47.7,68.4
Агрыз,Региональный,2023,113,4,3.54,91.73
Елабуга,Муниципальный,2022,30,11,ошибка,91.84
Зеленодольск,Школьный,2020.0,133,51,38.35,42.54
Тетюши,Школьный,2017.0,10,4,40.0,64.54
Агрыз,Школьный,2017,177,1,0.56,78.49
Елабуга,Заключительный,2022,26,10,38.46,88.37
Зеленодольск,Школьный,2015,169,81,47.93,64.08
Чистополь,Муниципальный,2021,52,13,ошибка,97.91
Елабуга,Муниципальный,2018,,,,91.99
Тетюши,Заключительный,2024,110,44,40.0,62.26
Арск,Школьный,2022.0,69,13,18.84,80.61
Азнакаево,Школьный,2017,ошибка,0,,83.14
Буинск,Муниципальный,2021,196,28,14.29,87.65
Апастово,Региональный,2023,96,9,9.38,51.59
Казань,Муниципальный,2023,77,7,ошибка,78.51
Балтаси,Школьный,2015,137,3,2.19,55.32
Альметьевск,Региональный,2021,110,51,46.36,54.95
Кукмор,Муниципальный,2024,49,,,92.1
Агрыз,Заключительный,2015,107,50,46.73,72.42
Елабуга,Региональный,2024,170,59,34.71,46.23
Заинск,Региональный,2017,153,19,ошибка,76.95
Чистополь,Заключительный,2016,85,20,23.53,48.56
Елабуга,Заключительный,2021.0,85,32,ошибка,42.84
Чистополь,Школьный,2018.0,,0,,99.53
Зеленодольск,Региональный,2015,181,32,17.68,83.84
Агрыз,Муниципальный,2022,40,8,ошибка,53.07
Буинск,Школьный,2024,67,24,35.82,60.22
Арск,Школьный,2016.0,95,42,44.21,71.85
Буинск,Школьный,2022,,,,88.62
Тетюши,Региональный,2023.0,73,31,42.47,75.82
Чистополь,Региональный,2019,24,7,29.17,
Азнакаево,Региональный,2023,83,26,31.33,65.24
Менделеевск,Школьный,2018,138,,,-1
Тетюши,Региональный,2020,157,9,5.73,63.02
Казань,Муниципальный,2018,69,27,39.13,87.03
Буинск,Региональный,2019.0,127,55,43.31,97.03
Чистополь,Муниципальный,2016,176,50,28.41,74.78
Заинск,Школьный,2024,142,,,73.9
Казань,Муниципальный,2024.0,75,17,22.67,46.62
Апастово,Заключительный,2019,118,,,
Набережные Челны,Муниципальный,2018,65,17,26.15,54.85
Буинск,Школьный,2016,54,4,7.41,50.42
Зеленодольск,Заключительный,2021.0,127,ошибка,ошибка,93.41
Елабуга,Региональный,2016.0,76,35,46.05,
Агрыз,Региональный,2024,106,7,ошибка,-1
Чистополь,Муниципальный,2021.0,177,25,14.12,75.09
Мамадыш,Заключительный,2015,150,13,ошибка,65.21
Альметьевск,Муниципальный,2024,37,18,ошибка,47.19
Мамадыш,Заключительный,2024,10,1,10.0,61.19
Елабуга,Региональный,2019,101,7,6.93,94.56
Тетюши,Школьный,2024,149,18,12.08,88.18
Мамадыш,Муниципальный,2015,123,,,76.38
Кукмор,Заключительный,2023,100,44,44.0,97.33
Азнакаево,Региональный,2020,70,16,ошибка,63.52
Тетюши,Муниципальный,2015.0,177,84,47.46,76.15
Лениногорск,Школьный,2022,85,11,12.94,95.58
Казань,Региональный,2021,,0,,82.58
Бугульма,Заключительный,2024,,0,ошибка,49.24
Азнакаево,Школьный,2018,126,58,46.03,55.24
Бавлы,Региональный,2015,137,63,45.99,86.76
Арск,Муниципальный,2019,128,47,36.72,52.36
Агрыз,Заключительный,2018,148,42,28.38,82.15
Балтаси,Региональный,2022,146,49,33.56,ошибка
Чистополь,Муниципальный,2019,184,51,27.72,48.55
Мамадыш,Региональный,2021,38,17,44.74,97.24
Чистополь,Региональный,2020,119,57,ошибка,61.93
Елабуга,Школьный,2017,150,1,0.67,
Зеленодольск,Муниципальный,2022,47,0,,76.04
Зеленодольск,Школьный,2023,,0,,69.27
Зеленодольск,Школьный,2021,54,11,ошибка,48.23
Тетюши,Школьный,2019.0,95,ошибка,ошибка,69.24
Зеленодольск,Школьный,2019,148,20,ошибка,
Казань,Муниципальный,2020,106,28,26.42,95.13
Менделеевск,Муниципальный,2024,51,22,ошибка,77.78
Буинск,Школьный,2022.0,150,57,38.0,48.65
Агрыз,Заключительный,2019.0,183,69,37.7,95.75
Зеленодольск,Школьный,2019,31,15,48.39,98.55
Апастово,Заключительный,2023.0,10,5,50.0,96.72
Балтаси,Заключительный,2022,133,,,80.1
Лениногорск,Заключительный,2018,40,4,10.0,61.75
Азнакаево,Школьный,2019,70,20,28.57,43.97
Заинск,Муниципальный,2022,69,15,21.74,71.18
Азнакаево,Региональный,2019,133,35,26.32,95.52
Бугульма,Региональный,2018,124,3,2.42,67.44
Зеленодольск,Заключительный,2016,101,6,5.94,46.64
Агрыз,Школьный,2022,128,61,47.66,97.57
Бугульма,Заключительный,2021,72,26,36.11,66.02
Арск,Заключительный,2017,29,14,48.28,76.32
Бавлы,Региональный,2015,,0,,48.35
Бугульма,Школьный,2019,172,,,50.86
Елабуга,Муниципальный,2015,,0,,66.22
Лениногорск,Школьный,2023,59,7,11.86,66.6
Набережные Челны,Муниципальный,2024,169,57,33.73,84.64
Елабуга,Заключительный,2015,36,18,50.0,70.36
Заинск,Заключительный,2020,121,56,ошибка,52.89
Мамадыш,Заключительный,2021,62,2,3.23,76.1
Лениногорск,Заключительный,2018,60,11,18.33,67.24
Заинск,Заключительный,2018,179,40,22.35,
Агрыз,Заключительный,2015,,,,81.47
Елабуга,Региональный,2016,49,17,ошибка,70.92
Елабуга,Школьный,2019,189,72,38.1,70.72
Альметьевск,Школьный,2017,ошибка,0,,64.18
Менделеевск,Региональный,2020,98,3,3.06,43.8
Набережные Челны,Региональный,2021.0,26,5,19.23,96.87
Бугульма,Муниципальный,2020.0,51,9,17.65,63.2
Набережные Челны,Региональный,2015,182,87,47.8,96.58
Кукмор,Заключительный,2015,136,33,24.26,41.94
Заинск,Школьный,2015,,0,,-1
Кукмор,Заключительный,2015,31,15,48.39,40.67
Елабуга,Муниципальный,2020,,0,ошибка,41.3
Менделеевск,Школьный,2023,,0,,96.08
Агрыз,Школьный,2016,124,54,43.55,68.26
Менделеевск,Заключительный,2020,198,9,4.55,96.14
Кукмор,Муниципальный,2018.0,15,,ошибка,53.25
Чистополь,Муниципальный,2023,129,20,15.5,67.3
Бугульма,Муниципальный,2015,78,17,21.79,45.98
Бугульма,Заключительный,2015,102,50,ошибка,53.61
Альметьевск,Муниципальный,2023,196,56,28.57,87.58
Альметьевск,Региональный,2015,148,64,43.24,51.04
Набережные Челны,Региональный,2022,82,19,23.17,85.31
Чистополь,Школьный,2017,56,3,5.36,50.25
Чистополь,Муниципальный,2020,77,15,19.48,40.01
Чистополь,Муниципальный,2022,58,0,,86.42
Мамадыш,Муниципальный,2016,,0,,95.85
Мамадыш,Заключительный,2019,28,,,92.32
Альметьевск,Школьный,2024,170,13,7.65,64.12
Зеленодольск,Заключительный,2018,183,65,35.52,63.76
Бавлы,Муниципальный,2024.0,110,3,2.73,57.07
Чистополь,Муниципальный,2017,147,73,49.66,43.38
Мамадыш,Муниципальный,2022,,,,
Альметьевск,Заключительный,2020,200,62,31.0,65.72
Апастово,Муниципальный,2016,15,7,46.67,56.54
Балтаси,Региональный,2017,40,,,55.06
Казань,Региональный,2023,167,82,49.1,55.83
Казань,Школьный,2016,198,63,31.82,53.07
Бугульма,Муниципальный,2016,166,,ошибка,71.88
Зеленодольск,Региональный,2015,25,5,20.0,65.18
Апастово,Региональный,2024,ошибка,,,57.63
Лениногорск,Региональный,2024,126,5,3.97,82.26
Заинск,Муниципальный,2016,128,53,41.41,
Заинск,Муниципальный,2018,ошибка,0,,
Набережные Челны,Школьный,2020,146,46,ошибка,40.56
Тетюши,Заключительный,2018,112,52,46.43,54.41
Апастово,Заключительный,2023,128,,,78.9
Заинск,Заключительный,2020.0,81,35,43.21,96.38
Зеленодольск,Школьный,2024,10,3,ошибка,82.59
Апастово,Региональный,2023,,0,ошибка,96.77
Заинск,Школьный,2023,,0,ошибка,84.67
Лениногорск,Муниципальный,2024,169,59,34.91,98.03
Альметьевск,Муниципальный,2015,140,36,25.71,98.48
Альметьевск,Заключительный,2019,,0,,96.59
Агрыз,Региональный,2020,68,25,36.76,
Набережные Челны,Региональный,2023.0,172,8,4.65,96.54
Менделеевск,Школьный,2018,192,21,10.94,47.91
Бугульма,Заключительный,2023,92,14,15.22,50.12
Бавлы,Школьный,2015,52,18,34.62,63.88
Лениногорск,Региональный,2024.0,198,77,38.89,72.78
Апастово,Региональный,2018,127,6,4.72,52.84
Азнакаево,Региональный,2020,18,0,,81.66
Агрыз,Муниципальный,2019,187,79,42.25,91.99
Азнакаево,Заключительный,2019,107,,,64.25
Кукмор,Региональный,2019,90,ошибка,,ошибка
Апастово,Школьный,2018,10,1,10.0,64.64
Кукмор,Заключительный,2015,144,37,25.69,67.39
Альметьевск,Региональный,2019,ошибка,0,ошибка,94.91
Агрыз,Региональный,2022,10,,ошибка,57.27
Буинск,Школьный,2023,170,50,29.41,74.3
Менделеевск,Региональный,2018,169,,,57.43
Елабуга,Заключительный,2020.0,189,15,7.94,50.93
Азнакаево,Муниципальный,2017,129,56,ошибка,70.67
Набережные Челны,Школьный,2020,151,17,ошибка,55.63
Бавлы,Муниципальный,2020,170,66,38.82,95.35
Чистополь,Региональный,2016,109,,,54.17
Бугульма,Муниципальный,2015,161,18,11.18,85.89
Елабуга,Региональный,2016,36,0,,84.7
Тетюши,Школьный,2016,161,ошибка,ошибка,64.38
Набережные Челны,Заключительный,2018,196,59,30.1,55.82
Чистополь,Школьный,2017,107,4,3.74,98.75
Кукмор,Региональный,2016,135,40,29.63,68.04
Чистополь,Муниципальный,2023,100,1,1.0,83.97
Апастово,Муниципальный,2022,36,18,50.0,54.99
Апастово,Заключительный,2021,182,26,14.29,59.82
Тетюши,Муниципальный,2022,19,2,10.53,45.2
Бавлы,Муниципальный,2020,51,6,ошибка,48.0
Тетюши,Региональный,2016.0,41,3,7.32,41.5
Зеленодольск,Заключительный,2018,188,59,ошибка,87.23
Лениногорск,Школьный,2019,154,8,ошибка,67.81
Чистополь,Муниципальный,2019,194,6,3.09,86.85
Арск,Заключительный,2021,88,44,ошибка,96.11
Елабуга,Школьный,2022,,,,90.01
Азнакаево,Региональный,2022,185,92,49.73,46.2
Зеленодольск,Региональный,2023,126,47,37.3,74.13
Апастово,Региональный,2016,24,12,50.0,66.32
Тетюши,Муниципальный,2022,55,,,47.99
Чистополь,Школьный,2024,25,,,ошибка
Заинск,Школьный,2017,101,4,3.96,77.52
Арск,Муниципальный,2020.0,10,3,ошибка,89.33
Альметьевск,Заключительный,2021,10,3,30.0,74.49
Азнакаево,Заключительный,2019,162,59,36.42,88.26
Менделеевск,Муниципальный,2021,,0,,
Зеленодольск,Школьный,2022,,0,,54.64
Азнакаево,Муниципальный,2023,66,18,ошибка,71.5
Заинск,Региональный,2023,55,22,40.0,43.83
Буинск,Муниципальный,2024,76,26,34.21,79.39
Набережные Челны,Школьный,2024,16,1,ошибка,93.37
Азнакаево,Школьный,2017.0,,,,ошибка
Апастово,Заключительный,2024,10,,,72.93
Лениногорск,Школьный,2018,120,27,22.5,47.27
Заинск,Школьный,2019,128,36,28.12,67.74
Кукмор,Заключительный,2024,41,,,43.28
Менделеевск,Муниципальный,2023,ошибка,0,,74.46
Тетюши,Школьный,2020,189,36,19.05,68.39
Тетюши,Школьный,2017.0,125,13,10.4,67.33
Апастово,Муниципальный,2018,108,16,14.81,70.37
Бугульма,Школьный,2016,,0,ошибка,44.72
Азнакаево,Заключительный,2022,38,5,13.16,64.23
Бавлы,Школьный,2018,17,4,23.53,76.78
Казань,Муниципальный,2015,57,13,ошибка,85.53
Мамадыш,Региональный,2021,86,19,22.09,65.67
Арск,Заключительный,2024,112,,ошибка,92.3
Лениногорск,Заключительный,2021,31,6,19.35,50.78
Балтаси,Муниципальный,2015,ошибка,0,,55.27
Казань,Школьный,2021,166,,,ошибка
Набережные Челны,Школьный,2020,161,51,31.68,87.22
Кукмор,Школьный,2021,138,18,ошибка,68.03
Апастово,Региональный,2015.0,82,13,15.85,97.15
Набережные Челны,Муниципальный,2022,200,54,ошибка,63.62
Бугульма,Школьный,2024,ошибка,0,,97.81
Лениногорск,Муниципальный,2021,97,10,10.31,52.44
Бавлы,Региональный,2015,187,,,82.5
Лениногорск,Школьный,2015,150,59,39.33,49.99
Зеленодольск,Региональный,2019,,0,,40.67
Елабуга,Региональный,2024,44,3,6.82,53.98
Заинск,Региональный,2018.0,ошибка,0,,50.15
Казань,Муниципальный,2021,188,74,39.36,ошибка
Казань,Школьный,2016,118,31,26.27,96.7
Менделеевск,Школьный,2018,187,44,23.53,58.49
Кукмор,Заключительный,2023,,0,,80.43
Арск,Заключительный,2019,78,14,17.95,89.2
Мамадыш,Школьный,2023,161,40,24.84,69.53
Менделеевск,Муниципальный,2015,37,15,40.54,87.25
Тетюши,Школьный,2017,176,49,27.84,
Чистополь,Региональный,2020,67,13,19.4,64.77
Кукмор,Региональный,2015,,0,ошибка,ошибка
Бугульма,Школьный,2017,143,14,9.79,99.2
Менделеевск,Региональный,2024,136,23,16.91,45.27
Елабуга,Муниципальный,2020,ошибка,0,,57.8
Чистополь,Муниципальный,2021,119,39,32.77,82.47
Елабуга,Муниципальный,2024,45,19,ошибка,51.14
Заинск,Заключительный,2019,ошибка,0,,85.07
Альметьевск,Школьный,2018,,0,,63.14
Буинск,Муниципальный,2015,,0,,66.73
Елабуга,Заключительный,2016,,0,,65.57
Бавлы,Муниципальный,2021,,0,,95.64
Азнакаево,Школьный,2021,187,87,ошибка,80.73
Агрыз,Заключительный,2022,ошибка,0,,51.14
Менделеевск,Муниципальный,2017,169,6,ошибка,ошибка
Набережные Челны,Заключительный,2023,200,41,20.5,83.48
Заинск,Заключительный,2024,120,31,25.83,63.78
Буинск,Региональный,2022,,0,,65.81
Мамадыш,Региональный,2022,53,18,33.96,51.63
Елабуга,Муниципальный,2017,172,23,13.37,56.51
Лениногорск,Муниципальный,2022,178,27,15.17,69.4
Бугульма,Школьный,2020,10,4,40.0,ошибка
Арск,Муниципальный,2021,149,17,11.41,91.91
Мамадыш,Заключительный,2024,ошибка,0,,77.55
Агрыз,Школьный,2015.0,153,24,15.69,-1
Лениногорск,Заключительный,2018,79,ошибка,ошибка,77.87
Лениногорск,Региональный,2018,99,48,48.48,73.87
Буинск,Муниципальный,2019,171,15,8.77,41.43
Менделеевск,Муниципальный,2023,123,53,43.09,65.4
Казань,Муниципальный,2022,61,0,,56.72
Заинск,Школьный,2022,42,14,33.33,44.91
Кукмор,Муниципальный,2022,61,23,37.7,71.15
Заинск,Региональный,2022,39,17,43.59,ошибка
Набережные Челны,Муниципальный,2016,168,54,32.14,91.45
Лениногорск,Школьный,2016,184,2,1.09,73.31
Чистополь,Школьный,2019,159,63,ошибка,81.86
Бавлы,Муниципальный,2023,39,3,7.69,89.98
Мамадыш,Муниципальный,2018,145,33,22.76,41.17
Кукмор,Школьный,2019,124,26,20.97,90.73
Бавлы,Школьный,2017,197,88,44.67,93.92
Бавлы,Региональный,2017,58,21,ошибка,73.75
Буинск,Региональный,2020,,0,ошибка,84.01
Бугульма,Муниципальный,2017,159,41,25.79,57.35
Чистополь,Региональный,2021,89,30,33.71,53.8
Азнакаево,Школьный,2023,64,20,31.25,90.09
Кукмор,Муниципальный,2015,53,23,43.4,ошибка
Казань,Региональный,2017,178,86,48.31,46.59
Альметьевск,Региональный,2017,70,16,22.86,97.41
Чистополь,Региональный,2017,49,23,46.94,59.75
Менделеевск,Региональный,2022,23,10,43.48,40.73
Заинск,Заключительный,2017,56,6,10.71,56.08
Агрыз,Школьный,2023,76,16,21.05,56.74
Буинск,Заключительный,2023,,0,ошибка,81.23
Елабуга,Муниципальный,2019,172,38,22.09,74.03
Казань,Муниципальный,2021,,,,95.24
Менделеевск,Школьный,2016,107,9,8.41,72.19
Апастово,Школьный,2022.0,60,16,26.67,98.17
Буинск,Муниципальный,2015,80,26,32.5,78.56
Казань,Заключительный,2015,98,36,36.73,79.13
Кукмор,Заключительный,2017,164,82,50.0,72.68
Заинск,Региональный,2017,,0,ошибка,87.54
Чистополь,Заключительный,2018,,0,,
Лениногорск,Муниципальный,2018,125,39,31.2,66.4
Апастово,Школьный,2017,161,57,35.4,96.13
Арск,Заключительный,2024,96,17,17.71,63.05
Азнакаево,Муниципальный,2015,186,44,23.66,75.3
Бавлы,Муниципальный,2023,96,46,47.92,45.83
Менделеевск,Муниципальный,2021,156,48,30.77,ошибка
Бавлы,Школьный,2019,96,44,45.83,ошибка
Тетюши,Школьный,2023,82,6,7.32,85.61
Тетюши,Региональный,2023,48,7,ошибка,95.75
Апастово,Региональный,2018,146,30,20.55,45.69
Апастово,Региональный,2022,129,49,37.98,85.34
Буинск,Школьный,2021,130,21,16.15,78.48
Кукмор,Заключительный,2018,180,,,43.81
Чистополь,Школьный,2018,54,6,11.11,70.39
Агрыз,Региональный,2020,127,,,80.58
Апастово,Школьный,2023,44,16,36.36,69.2
Менделеевск,Региональный,2023,115,20,17.39,67.31
Буинск,Школьный,2023,113,,,90.97
Елабуга,Муниципальный,2018,,0,ошибка,41.36
Бугульма,Муниципальный,2017,35,7,20.0,ошибка
Набережные Челны,Региональный,2022,75,,,70.71
Набережные Челны,Муниципальный,2018,80,ошибка,,61.38
Апастово,Муниципальный,2017,186,64,34.41,94.64
Агрыз,Региональный,2019,10,1,10.0,99.57
Буинск,Региональный,2023,60,1,1.67,86.05
Набережные Челны,Школьный,2021,129,31,24.03,89.5
Агрыз,Муниципальный,2021,69,16,23.19,90.0
Казань,Муниципальный,2015,29,11,37.93,71.18
Альметьевск,Школьный,2018,,ошибка,ошибка,85.76
Мамадыш,Школьный,2021,115,4,3.48,60.14
Балтаси,Региональный,2015,192,86,ошибка,73.8
Кукмор,Школьный,2015,ошибка,,,52.6
Азнакаево,Региональный,2021,110,8,7.27,89.56
Набережные Челны,Региональный,2015,104,23,22.12,99.89
Бавлы,Школьный,2020,194,13,6.7,98.1
Бавлы,Региональный,2015,31,5,16.13,95.7
Буинск,Заключительный,2024,145,65,44.83,95.44
Балтаси,Заключительный,2019.0,,0,,52.19
Бугульма,Региональный,2022,ошибка,,ошибка,92.41
Бавлы,Муниципальный,2018,145,18,12.41,70.05
Мамадыш,Муниципальный,2020,154,50,32.47,89.04
Заинск,Муниципальный,2016,115,34,29.57,62.77
Арск,Муниципальный,2024,,,,
Тетюши,Региональный,2018,84,39,46.43,78.88
Бавлы,Региональный,2023,13,0,,93.78
Буинск,Региональный,2018,15,6,40.0,
Зеленодольск,Региональный,2023,14,6,42.86,58.54
Чистополь,Региональный,2022,85,32,37.65,52.6
Кукмор,Муниципальный,2015,,0,,67.62
Заинск,Заключительный,2022,119,0,ошибка,99.14
Казань,Школьный,2018,100,1,1.0,91.76
Кукмор,Школьный,2015,13,0,ошибка,88.95
Менделеевск,Школьный,2022,131,1,0.76,50.21
Заинск,Школьный,2020,19,9,ошибка,87.0
Набережные Челны,Региональный,2017,ошибка,0,,40.71
Балтаси,Школьный,2024,36,4,11.11,53.21
Буинск,Муниципальный,2022,78,9,11.54,75.69
Зеленодольск,Школьный,2022,180,26,14.44,
Заинск,Школьный,2020,70,30,42.86,96.06
Азнакаево,Муниципальный,2022,,0,,97.41
Чистополь,Школьный,2020,108,6,5.56,57.01
Балтаси,Муниципальный,2017,81,7,8.64,89.64
Лениногорск,Региональный,2015,,0,,99.78
Бавлы,Заключительный,2020,ошибка,0,,56.89
Азнакаево,Школьный,2018.0,193,95,49.22,-1
Буинск,Школьный,2023,149,10,6.71,68.56
Чистополь,Школьный,2019,199,44,22.11,87.47
Агрыз,Региональный,2021,178,,,90.36
Альметьевск,Муниципальный,2022,54,6,ошибка,70.33
Елабуга,Заключительный,2016,149,17,11.41,78.98
Лениногорск,Школьный,2017,115,9,7.83,95.74
Арск,Школьный,2020,43,18,41.86,-1
Апастово,Школьный,2020,,0,ошибка,76.48
Казань,Муниципальный,2020,10,2,20.0,68.89
Арск,Школьный,2015,176,59,33.52,98.77
Тетюши,Заключительный,2019,78,30,38.46,74.41
Балтаси,Муниципальный,2019,113,37,32.74,75.71
Елабуга,Муниципальный,2015,96,1,1.04,85.96
Тетюши,Школьный,2021,,0,,75.26
Балтаси,Региональный,2022,148,21,14.19,96.07
Набережные Челны,Школьный,2019,119,43,36.13,96.58
Мамадыш,Заключительный,2024,96,9,9.38,65.23
Мамадыш,Школьный,2015,,,,90.74
Тетюши,Школьный,2018,92,4,4.35,96.5
Лениногорск,Региональный,2019,45,ошибка,,79.4
Бавлы,Заключительный,2017,132,,,
Казань,Школьный,2015,43,14,32.56,60.62
Тетюши,Муниципальный,2017,,,ошибка,99.23
Балтаси,Школьный,2016,86,37,43.02,46.36
Буинск,Муниципальный,2022,77,20,25.97,80.5
Зеленодольск,Школьный,2015,,0,,43.8
Альметьевск,Муниципальный,2016,ошибка,0,,70.14
Мамадыш,Региональный,2016,106,30,28.3,82.47
Чистополь,Школьный,2022.0,50,3,6.0,67.11
Бавлы,Школьный,2015,161,30,18.63,
Набережные Челны,Заключительный,2018,109,23,ошибка,62.47
Мамадыш,Школьный,2017,181,6,3.31,53.82
Набережные Челны,Школьный,2022.0,107,,,42.0
Арск,Школьный,2022,112,40,ошибка,79.39
Тетюши,Школьный,2020,65,31,47.69,74.52
Лениногорск,Школьный,2020.0,113,21,ошибка,90.12
Бавлы,Заключительный,2017,ошибка,0,,74.97
Бавлы,Региональный,2017,58,12,20.69,80.89
Тетюши,Школьный,2021,168,68,40.48,75.56
Агрыз,Муниципальный,2022,43,13,30.23,69.97
Арск,Муниципальный,2018,105,,,71.34
Буинск,Школьный,2022,41,4,ошибка,48.97
Арск,Региональный,2015,128,10,7.81,46.3
Набережные Челны,Муниципальный,2022,112,11,9.82,70.82
Арск,Заключительный,2024,92,4,4.35,61.89
Арск,Школьный,2020,ошибка,0,,94.32
Елабуга,Региональный,2022,91,26,28.57,82.96
Арск,Региональный,2023.0,97,6,6.19,46.72
Буинск,Региональный,2022,51,7,13.73,83.66
Бавлы,Региональный,2017,61,6,9.84,99.54
Агрыз,Школьный,2020,,0,,65.34
Буинск,Муниципальный,2022,16,4,25.0,51.24
Казань,Муниципальный,2016.0,131,16,12.21,
Буинск,Школьный,2016,52,4,7.69,62.94
Азнакаево,Региональный,2023,,0,ошибка,87.98
Альметьевск,Заключительный,2020,82,26,31.71,53.68
Елабуга,Муниципальный,2022,55,27,49.09,92.66
Чистополь,Региональный,2021.0,129,14,10.85,90.38
Казань,Школьный,2024,17,8,ошибка,ошибка
Тетюши,Школьный,2021,16,,,94.79
Агрыз,Муниципальный,2021,,0,,82.42
Заинск,Школьный,2020,144,42,29.17,46.28
Бавлы,Муниципальный,2019,111,,,44.81
Бавлы,Региональный,2020,,0,,87.47
Апастово,Муниципальный,2019,159,7,4.4,56.6
Кукмор,Муниципальный,2023,86,18,20.93,52.82
Мамадыш,Региональный,2024,164,69,42.07,81.77
Апастово,Муниципальный,2023,14,3,21.43,66.63
Агрыз,Заключительный,2018,,0,ошибка,42.21
Чистополь,Региональный,2015,163,45,ошибка,99.24
Елабуга,Заключительный,2024,136,,ошибка,94.81
Лениногорск,Региональный,2023,160,10,6.25,75.21
Буинск,Заключительный,2024,64,12,18.75,74.7
Арск,Заключительный,2019,,0,,78.61
Заинск,Заключительный,2020,17,5,29.41,78.69
Альметьевск,Заключительный,2015,36,11,30.56,63.88
Мамадыш,Школьный,2016,101,9,8.91,50.38
Апастово,Заключительный,2023,22,10,45.45,86.07
Казань,Муниципальный,2017,,0,,86.57
Казань,Школьный,2015,108,20,18.52,51.61
Апастово,Региональный,2017,120,,ошибка,70.92
Арск,Школьный,2021,75,10,13.33,51.84
Чистополь,Региональный,2019,140,62,44.29,47.74
Арск,Заключительный,2016,ошибка,0,,71.72
Апастово,Муниципальный,2017,10,2,20.0,63.09
Менделеевск,Школьный,2021,173,72,41.62,66.02
Менделеевск,Региональный,2017,75,14,18.67,
Альметьевск,Муниципальный,2019,175,16,9.14,84.65
Альметьевск,Муниципальный,2016.0,10,0,ошибка,86.57
Агрыз,Заключительный,2017,163,0,,62.64
Чистополь,Школьный,2022,52,18,34.62,68.53
Буинск,Региональный,2020,24,12,ошибка,67.65
Тетюши,Региональный,2017,13,5,38.46,50.71
Лениногорск,Школьный,2020,128,47,ошибка,62.03
Заинск,Школьный,2021.0,73,20,27.4,40.85
Казань,Региональный,2023,52,15,28.85,50.45
Агрыз,Заключительный,2016,21,5,23.81,99.17
Заинск,Заключительный,2017,120,21,17.5,85.09
Лениногорск,Муниципальный,2018,156,46,29.49,48.14
Набережные Челны,Школьный,2024.0,74,14,18.92,45.9
Альметьевск,Региональный,2023,17,,,57.83
Арск,Муниципальный,2024,93,2,2.15,40.94
Альметьевск,Школьный,2015,41,16,39.02,51.03
Агрыз,Муниципальный,2022.0,10,0,ошибка,80.14
Бавлы,Муниципальный,2020,16,3,18.75,41.16
Зеленодольск,Муниципальный,2019,,0,,96.79
Мамадыш,Региональный,2015,92,5,5.43,83.68
Казань,Школьный,2024,141,36,25.53,85.73
Буинск,Заключительный,2019.0,ошибка,0,,59.41
Елабуга,Заключительный,2020,69,9,ошибка,54.79
Чистополь,Муниципальный,2021,55,10,18.18,51.41
Тетюши,Школьный,2021,95,41,43.16,85.98
Чистополь,Заключительный,2021,147,29,19.73,49.59
